epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1401,2.55035,4.62635,0.70022,2.82083,2.90856,0.01961,0.02326,0.01101,0.0033,0.43137,0.51163,0.44374,0.34589,4.36416,6.70703,0.69433,4.26827,4.22388,0,0,0
2,21.0276,2.49286,3.4825,0.70928,3.42967,2.84049,0.03922,0.04651,0.02259,0.00467,0.45098,0.53488,0.48287,0.3647,4.18446,6.58766,0.69427,4.10155,4.10145,1.9604e-05,1.9604e-05,1.9604e-05
3,28.7258,2.44426,2.57022,0.72187,2.97403,2.72576,0.03846,0.04651,0.02419,0.0063,0.38462,0.46512,0.45781,0.33357,3.82172,6.49785,0.69437,3.71696,3.8641,3.8416e-05,3.8416e-05,3.8416e-05
4,36.4129,2.11063,3.98719,0.71586,2.61985,2.40927,0.09333,0.16279,0.11004,0.02716,0.41333,0.72093,0.55484,0.3415,3.24581,6.35281,0.69421,3.11924,3.46922,5.6436e-05,5.6436e-05,5.6436e-05
5,42.3858,1.67057,4.75015,0.70487,1.99996,2.09402,0.17526,0.39535,0.34737,0.11686,0.36082,0.81395,0.64725,0.37682,2.45136,5.82827,0.69435,2.34096,2.92159,7.3664e-05,7.3664e-05,7.3664e-05
6,48.1045,1.50029,5.34916,0.70701,1.28821,1.95058,1,0.26507,0.45483,0.20945,0.7275,0.55814,0.67256,0.34704,1.6353,5.38122,0.69408,1.45829,2.35792,9.01e-05,9.01e-05,9.01e-05
7,54.2629,1.33834,2.0467,0.71073,1.25766,1.91802,0.87955,0.33997,0.47071,0.2636,1,0.38877,0.69623,0.35838,1.26676,4.96152,0.69489,0.87847,2.0764,0.000105744,0.000105744,0.000105744
8,60.3806,1.17599,2.30148,0.7152,1.10591,1.61706,0.90256,0.32558,0.41578,0.25021,0.89782,0.32558,0.61446,0.31859,1.27507,4.53333,0.696,0.80642,2.06241,0.000120596,0.000120596,0.000120596
9,66.3155,1.2273,3.36015,0.70834,1.02323,1.76029,0.99192,0.23256,0.27628,0.2164,1,0.28432,0.59516,0.3217,1.24167,4.52537,0.69619,0.90964,2.02241,0.000134656,0.000134656,0.000134656
10,71.8823,1.12535,3.79932,0.70318,1.07386,1.58001,0.90917,0.23281,0.2579,0.20567,0.98994,0.32558,0.63747,0.37714,1.09174,4.52112,0.69663,1.05948,1.88355,0.000147924,0.000147924,0.000147924
11,77.3946,0.97026,3.56214,0.69991,0.90447,1.50658,0.99392,0.23256,0.23751,0.19455,0.84932,0.30233,0.60404,0.36987,1.02115,4.47082,0.69723,1.10984,1.75604,0.0001604,0.0001604,0.0001604
12,82.8625,0.67319,2.78595,0.7119,0.7297,1.31595,0.99432,0.23256,0.23695,0.18206,0.79459,0.27026,0.54769,0.34045,0.93816,4.49464,0.69819,1.0679,1.65473,0.000172084,0.000172084,0.000172084
13,89.0272,0.68975,3.51828,0.7043,0.71299,1.34184,0.99444,0.23256,0.23701,0.17915,0.86655,0.30204,0.55307,0.316,0.92152,4.50797,0.69857,1.003,1.51904,0.000182976,0.000182976,0.000182976
