epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4376,0.82392,3.50025,0.95301,0.00933,0.63636,0.00841,0.00548,0.66381,3.25739,0.95221,0,0,0
2,23.9047,0.82943,3.56137,0.96846,0.01,0.68182,0.00993,0.00714,0.64595,3.2251,0.93943,1.9604e-05,1.9604e-05,1.9604e-05
3,31.9655,0.73465,3.44737,0.92976,0.01333,0.90909,0.0154,0.01151,0.60742,3.18731,0.93082,3.8416e-05,3.8416e-05,3.8416e-05
4,39.5516,0.73561,3.21883,0.95292,0.01333,0.90909,0.02247,0.01885,0.56722,3.15761,0.91545,5.6436e-05,5.6436e-05,5.6436e-05
5,46.7725,0.74348,3.17842,0.90343,0.01467,1,0.03342,0.02681,0.54271,3.10425,0.8789,7.3664e-05,7.3664e-05,7.3664e-05
6,54.0529,0.69023,2.95055,0.87154,0.01467,1,0.03896,0.03202,0.58173,3.07736,0.86895,9.01e-05,9.01e-05,9.01e-05
7,61.133,0.70941,2.82462,0.86647,0.01467,1,0.0415,0.03354,0.61246,3.05681,0.85696,0.000105744,0.000105744,0.000105744
8,68.2239,0.75748,2.52402,0.882,0.01467,1,0.05013,0.03766,0.6357,3.01373,0.85654,0.000120596,0.000120596,0.000120596
9,75.3084,0.77705,2.21127,0.86264,0.01467,1,0.18017,0.1446,0.63052,2.95262,0.84896,0.000134656,0.000134656,0.000134656
10,82.3878,0.8027,1.8806,0.88347,0.01467,1,0.47912,0.36702,0.60562,2.86463,0.83038,0.000147924,0.000147924,0.000147924
11,89.4268,0.73265,1.54498,0.87227,0.01467,1,0.65597,0.51989,0.6104,2.75243,0.82363,0.0001604,0.0001604,0.0001604
12,96.7401,0.70033,1.20411,0.87441,0.01467,1,0.77036,0.5974,0.6249,2.66074,0.817,0.000172084,0.000172084,0.000172084
13,106.972,0.74027,0.97153,0.88093,0.01467,1,0.85223,0.64433,0.64628,2.58022,0.81879,0.000182976,0.000182976,0.000182976
14,115.941,0.71395,0.85385,0.84252,0.01467,1,0.92793,0.73551,0.69962,2.49944,0.82982,0.000193076,0.000193076,0.000193076
15,123.605,0.71729,0.78968,0.86781,0.03807,1,0.96643,0.78534,0.73442,2.42035,0.84174,0.000202384,0.000202384,0.000202384
16,131.609,0.81184,1.46464,1.00095,1,0.28902,0.995,0.80892,0.72612,2.34639,0.8425,0.0002109,0.0002109,0.0002109
17,139.731,0.77748,0.82965,0.91114,1,0.17853,0.995,0.83693,0.69617,2.27321,0.83689,0.000218624,0.000218624,0.000218624
18,146.687,0.7468,1.01359,0.91485,1,0.17853,0.995,0.83693,0.69617,2.27321,0.83689,0.000225556,0.000225556,0.000225556
19,153.755,0.77668,0.92135,0.88234,1,0.25581,0.995,0.83441,0.6755,2.19289,0.83521,0.000231696,0.000231696,0.000231696
20,160.674,0.70042,0.87557,0.89306,1,0.25581,0.995,0.83441,0.6755,2.19289,0.83521,0.000237044,0.000237044,0.000237044
21,167.788,0.68448,0.83322,0.90615,1,0.48865,0.995,0.85119,0.67492,2.12441,0.83123,0.0002416,0.0002416,0.0002416
22,174.748,0.64957,0.73077,0.8695,1,0.48865,0.995,0.85119,0.67492,2.12441,0.83123,0.000245364,0.000245364,0.000245364
23,181.997,0.65458,0.82698,0.88901,1,0.62918,0.995,0.84521,0.67352,2.07692,0.83036,0.000248336,0.000248336,0.000248336
24,189.25,0.71381,0.71864,0.85703,1,0.62918,0.995,0.84521,0.67352,2.07692,0.83036,0.000250516,0.000250516,0.000250516
25,196.304,0.70126,0.71861,0.89999,1,0.71756,0.995,0.84694,0.69534,2.04541,0.83633,0.000251904,0.000251904,0.000251904
26,203.353,0.70839,0.76524,0.87418,1,0.71756,0.995,0.84694,0.69534,2.04541,0.83633,0.0002525,0.0002525,0.0002525
27,210.42,0.72174,0.73044,0.88976,1,0.73588,0.995,0.8416,0.69354,2.0375,0.83614,0.000252304,0.000252304,0.000252304
28,217.4,0.6568,0.68887,0.85616,1,0.73588,0.995,0.8416,0.69354,2.0375,0.83614,0.000251316,0.000251316,0.000251316
29,224.643,0.66934,0.72329,0.8839,1,0.78686,0.995,0.8507,0.65333,2.0553,0.83242,0.000249536,0.000249536,0.000249536
30,232.085,0.71374,0.73447,0.89262,1,0.78686,0.995,0.8507,0.65333,2.0553,0.83242,0.000246964,0.000246964,0.000246964
31,239.44,0.68954,0.75728,0.87043,1,0.70331,0.995,0.85747,0.63155,2.08722,0.82612,0.0002436,0.0002436,0.0002436
32,246.468,0.67018,0.70426,0.86427,1,0.70331,0.995,0.85747,0.63155,2.08722,0.82612,0.000239444,0.000239444,0.000239444
33,253.933,0.69947,0.70985,0.87254,1,0.60095,0.995,0.84795,0.62044,2.11744,0.82057,0.000234496,0.000234496,0.000234496
34,260.933,0.71318,0.70145,0.89266,1,0.60095,0.995,0.84795,0.62044,2.11744,0.82057,0.000228756,0.000228756,0.000228756
35,267.942,0.66975,0.71072,0.87585,1,0.56344,0.995,0.84418,0.5984,2.13826,0.81178,0.000222224,0.000222224,0.000222224
36,275,0.669,0.70682,0.8631,1,0.56344,0.995,0.84418,0.5984,2.13826,0.81178,0.0002149,0.0002149,0.0002149
37,282.051,0.72612,0.72175,0.89749,1,0.60629,0.995,0.84316,0.59484,2.13561,0.81207,0.000206784,0.000206784,0.000206784
38,289.196,0.60363,0.64531,0.8425,1,0.60629,0.995,0.84316,0.59484,2.13561,0.81207,0.000197876,0.000197876,0.000197876
39,296.854,0.64124,0.67487,0.87838,1,0.61832,0.995,0.85774,0.59096,2.10657,0.81577,0.000188176,0.000188176,0.000188176
40,304.324,0.67293,0.7008,0.90922,1,0.61832,0.995,0.85774,0.59096,2.10657,0.81577,0.000177684,0.000177684,0.000177684
