epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8307,0.80095,1.50574,3.2065,0.99816,0.014,0.97674,0.04263,0.03288,0.014,0.97674,0.08028,0.03587,0.36147,0.95213,3.05116,0.85817,8e-05,8e-05,8e-05
2,20.1121,0.58715,1.10978,2.90871,0.95296,0.01433,1,0.06548,0.04878,0.01433,1,0.10071,0.04773,0.344,0.8261,3.03097,0.83597,0.000176436,0.000176436,0.000176436
3,27.6654,0.61092,0.99201,2.33463,0.90204,0.01433,1,0.16951,0.10167,0.01433,1,0.21628,0.12491,0.44389,0.73873,3.00759,0.82844,0.000268912,0.000268912,0.000268912
4,35.3635,0.73545,0.97055,2.24546,0.88972,0.01433,1,0.66079,0.54017,0.01433,1,0.66079,0.54493,0.52681,0.68799,2.77801,0.81605,0.000357428,0.000357428,0.000357428
5,42.7696,0.69787,0.89053,2.00101,0.87124,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.000441984,0.000441984,0.000441984
6,50.1254,0.66867,0.67514,1.36994,0.88175,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.00052258,0.00052258,0.00052258
7,57.873,0.58856,0.61015,1.2118,0.84504,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.000599216,0.000599216,0.000599216
8,65.2517,0.71019,0.77412,1.19488,0.85659,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000671892,0.000671892,0.000671892
9,72.8601,0.63552,0.63175,1.0573,0.85575,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000740608,0.000740608,0.000740608
10,80.2451,0.74945,0.65875,1.02564,0.84981,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000805364,0.000805364,0.000805364
11,87.4528,0.65252,0.7546,1.06738,0.87184,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00086616,0.00086616,0.00086616
12,95.1932,0.72266,1.00987,1.06996,0.86397,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.000922996,0.000922996,0.000922996
13,104.305,0.68837,0.87342,1.11985,0.87347,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.000975872,0.000975872,0.000975872
14,111.811,0.70003,0.77278,0.96632,0.88863,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00102479,0.00102479,0.00102479
15,119.115,0.67829,0.79789,0.97747,0.8533,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00106974,0.00106974,0.00106974
16,127.346,0.67109,0.88964,1.23799,0.8907,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00111074,0.00111074,0.00111074
17,141.386,0.69242,0.89036,1.03168,0.89776,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00114778,0.00114778,0.00114778
18,150.008,0.73724,0.8685,1.35608,0.92188,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00118085,0.00118085,0.00118085
19,159.093,0.73049,1.10872,1.2377,0.93128,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00120997,0.00120997,0.00120997
20,166.706,0.70393,1.02624,1.32479,0.92512,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00123512,0.00123512,0.00123512
