epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3504,0.62972,0.81906,0.85395,1,0.80811,0.96862,0.81582,0.58658,1.9913,0.84596,4e-05,4e-05,4e-05
2,52.7572,0.61378,0.74735,0.87442,1,0.91225,0.99403,0.846,0.62618,1.80671,0.84488,9.802e-05,9.802e-05,9.802e-05
3,72.9589,0.66114,0.73515,0.8684,1,0.94844,0.96584,0.84794,0.59444,1.79357,0.84751,0.000153664,0.000153664,0.000153664
4,91.9661,0.69306,0.73279,0.9417,1,0.55811,0.9658,0.83916,0.6049,2.08111,0.85092,0.000206932,0.000206932,0.000206932
5,110.765,0.6742,0.69896,0.89685,1,0.62759,0.995,0.85695,0.6103,2.20593,0.85631,0.000257824,0.000257824,0.000257824
6,128.908,0.71138,0.74252,0.90277,1,0.58944,0.995,0.84995,0.63056,2.09011,0.85849,0.00030634,0.00030634,0.00030634
7,148.295,0.70142,0.65387,0.90255,1,0.75422,0.995,0.84594,0.62898,1.94471,0.85937,0.00035248,0.00035248,0.00035248
8,166.181,0.66739,0.62435,0.85803,1,0.76049,0.995,0.84937,0.62009,1.92342,0.85487,0.000396244,0.000396244,0.000396244
9,184.223,0.64494,0.61603,0.87089,0.99055,0.86667,0.99081,0.82045,0.7068,1.87851,0.86511,0.000437632,0.000437632,0.000437632
10,203.311,0.69276,0.66829,0.88016,0.98615,0.86667,0.98884,0.82378,0.69835,1.83797,0.86309,0.000476644,0.000476644,0.000476644
11,222.428,0.61797,0.60512,0.86553,1,0.95495,0.995,0.84847,0.63889,1.7071,0.85787,0.00051328,0.00051328,0.00051328
12,240.283,0.70272,0.63456,0.91198,1,0.96736,0.995,0.83978,0.64433,1.67624,0.8637,0.00054754,0.00054754,0.00054754
13,258.013,0.61046,0.59162,0.87701,1,0.98288,0.995,0.85284,0.63197,1.56881,0.86057,0.000579424,0.000579424,0.000579424
14,276.813,0.66028,0.63882,0.88898,1,0.98709,0.995,0.86999,0.62177,1.60456,0.8649,0.000608932,0.000608932,0.000608932
15,295.934,0.62798,0.61964,0.87152,0.99335,1,0.995,0.84773,0.64185,1.49334,0.86889,0.000636064,0.000636064,0.000636064
16,314.157,0.61362,0.61141,0.85603,0.98134,1,0.995,0.84282,0.65596,1.50051,0.87073,0.00066082,0.00066082,0.00066082
17,332.772,0.63237,0.59505,0.8747,0.96098,1,0.995,0.84212,0.67095,1.42586,0.87652,0.0006832,0.0006832,0.0006832
18,350.887,0.73798,0.74693,0.90674,0.96246,1,0.99403,0.84693,0.64683,1.34574,0.86882,0.000703204,0.000703204,0.000703204
19,368.966,0.61459,0.58452,0.84733,0.9644,1,0.99403,0.84221,0.65589,1.27404,0.87254,0.000720832,0.000720832,0.000720832
20,387.116,0.65064,0.57474,0.8806,0.99172,1,0.995,0.82904,0.69109,1.20171,0.88263,0.000736084,0.000736084,0.000736084
21,405.954,0.62919,0.5924,0.91605,0.98584,1,0.995,0.81009,0.73246,1.19961,0.89719,0.00074896,0.00074896,0.00074896
22,423.58,0.62787,0.58986,0.88007,0.97955,0.96667,0.99403,0.81365,0.74182,1.24706,0.89746,0.00075946,0.00075946,0.00075946
23,442.129,0.62486,0.5734,0.87819,0.9837,0.96667,0.99,0.83809,0.65498,1.13368,0.87199,0.000767584,0.000767584,0.000767584
24,459.823,0.60431,0.58682,0.85296,0.95675,1,0.97565,0.84196,0.59663,0.99469,0.86145,0.000773332,0.000773332,0.000773332
25,477.68,0.64927,0.55414,0.86949,0.95172,1,0.96597,0.82295,0.60352,0.91264,0.86284,0.000776704,0.000776704,0.000776704
26,495.348,0.64627,0.61298,0.90255,0.95208,1,0.965,0.79534,0.66743,0.87659,0.87506,0.0007777,0.0007777,0.0007777
27,513.208,0.60372,0.51248,0.86054,0.96718,0.98261,0.97145,0.81945,0.65684,0.84067,0.8746,0.00077632,0.00077632,0.00077632
28,530.829,0.609,0.52046,0.86711,0.89005,1,0.9792,0.84504,0.59118,0.79338,0.86273,0.000772564,0.000772564,0.000772564
29,548.582,0.59804,0.58684,0.84264,0.89005,1,0.9792,0.84504,0.59118,0.79338,0.86273,0.000766432,0.000766432,0.000766432
30,566.589,0.59769,0.52935,0.86439,0.90796,0.98673,0.98896,0.86048,0.59052,0.7798,0.8647,0.000757924,0.000757924,0.000757924
31,585.127,0.56766,0.53381,0.84247,0.96622,0.95385,0.99212,0.86312,0.60171,0.81786,0.87033,0.00074704,0.00074704,0.00074704
32,603.374,0.56605,0.50969,0.86178,0.86743,1,0.96977,0.8218,0.64242,0.86568,0.88182,0.00073378,0.00073378,0.00073378
33,621.116,0.60609,0.51513,0.85823,0.86743,1,0.96977,0.8218,0.64242,0.86568,0.88182,0.000718144,0.000718144,0.000718144
34,639.32,0.55511,0.49927,0.83417,0.85653,0.99512,0.92392,0.77744,0.65109,0.85598,0.88284,0.0006932,0.0006932,0.0006932
35,657.08,0.58777,0.50833,0.84546,0.85169,1,0.94756,0.79509,0.62352,0.78266,0.87608,0.0006536,0.0006536,0.0006536
36,675.021,0.52986,0.48997,0.84145,0.90715,0.97728,0.9801,0.83231,0.5981,0.68753,0.86754,0.000614,0.000614,0.000614
37,693.344,0.54143,0.46798,0.87153,0.90715,0.97728,0.9801,0.83231,0.5981,0.68753,0.86754,0.0005744,0.0005744,0.0005744
38,710.942,0.51771,0.47393,0.85862,0.93706,1,0.99312,0.87025,0.59689,0.6395,0.86195,0.0005348,0.0005348,0.0005348
39,728.628,0.53781,0.50495,0.84855,0.93319,1,0.99306,0.86615,0.61438,0.62532,0.86327,0.0004952,0.0004952,0.0004952
40,747.515,0.52326,0.46732,0.83783,0.9356,1,0.98984,0.86946,0.60224,0.59936,0.86024,0.0004556,0.0004556,0.0004556
41,765.37,0.49074,0.51243,0.80226,0.9356,1,0.98984,0.86946,0.60224,0.59936,0.86024,0.000416,0.000416,0.000416
42,782.363,0.4969,0.50451,0.80387,0.93501,1,0.98661,0.86708,0.57957,0.6046,0.85786,0.0003764,0.0003764,0.0003764
43,799.578,0.49265,0.49455,0.84616,0.89329,0.96667,0.9758,0.83946,0.59497,0.63568,0.85964,0.0003368,0.0003368,0.0003368
44,817.442,0.46089,0.49016,0.79404,0.879,0.96868,0.9748,0.83731,0.59518,0.65288,0.85979,0.0002972,0.0002972,0.0002972
45,834.712,0.47111,0.49074,0.83047,0.879,0.96868,0.9748,0.83731,0.59518,0.65288,0.85979,0.0002576,0.0002576,0.0002576
46,852.713,0.48806,0.47673,0.79836,0.91138,0.96667,0.9673,0.82295,0.59274,0.65976,0.85988,0.000218,0.000218,0.000218
47,871.08,0.46811,0.47871,0.81865,0.92021,0.96667,0.96732,0.82553,0.58483,0.64384,0.85925,0.0001784,0.0001784,0.0001784
48,888.706,0.45394,0.46372,0.81254,0.91649,0.96667,0.97098,0.83204,0.57518,0.62095,0.85748,0.0001388,0.0001388,0.0001388
49,905.976,0.46674,0.47455,0.80152,0.91649,0.96667,0.97098,0.83204,0.57518,0.62095,0.85748,9.92e-05,9.92e-05,9.92e-05
50,924,0.4364,0.46512,0.79459,0.90887,0.96667,0.96682,0.82887,0.57097,0.61347,0.85718,5.96e-05,5.96e-05,5.96e-05
